Date,Total_Sales
2018-01-01,246863
2018-01-01,262123
2018-03-01,257477
2018-04-01,254954
2018-05-01,244577
2018-05-01,245377
2018-06-01,219315
2018-07-01,238636
2018-08-01,233296
2018-09-01,262820
2018-10-01,295106
2018-11-01,325595
2018-12-01,268643
2019-01-01,253347
2019-02-01,253378
2019-03-01,254249
2019-04-01,258264
2019-05-01,264938
2019-06-01,237010
2019-07-01,234417
2019-08-01,242885
2019-09-01,258108
2019-10-01,315665
2019-11-01,319099
2019-12-01,269212
2020-01-01,279021
2020-02-01,263999
2020-03-01,273453
2020-04-01,179132
2020-05-01,110137
2020-06-01,68217
2020-07-01,55477
2020-08-01,46641
2020-09-01,48120
2020-10-01,58026
2020-11-01,57342
2020-12-01,45598
2021-01-01,44782
2021-02-01,47674
2021-03-01,46684
2021-04-01,45338
2021-05-01,47250
2021-06-01,40697
2021-07-01,44578
2021-08-01,41928
2021-09-01,48673
2021-10-01,56577
2021-11-01,57967
2021-12-01,48593
2022-01-01,46996
2022-02-01,50970
2022-03-01,50187
2022-04-01,51157
2022-05-01,51105
2022-06-01,40344
2022-07-01,41775
2022-08-01,38560
2022-09-01,48297
2022-10-01,57242
2022-11-01,59114
2022-12-01,49742
2023-01-01,49312
2023-02-01,52296
2023-03-01,50070
2023-04-01,49847
2023-05-01,51349
2023-06-01,44510
2023-07-01,47719
2023-08-01,44494
2023-09-01,54326
2023-10-01,64066
2023-11-01,60687
2023-12-01,54141
2023-12-01,49727
2024-01-01,53746
2024-02-01,54039
2024-03-01,54440
2024-04-01,50911
2024-05-01,52595
2024-06-01,46322
2024-07-01,50085
2024-08-01,49086
2024-09-01,53138
2024-10-01,62235
